title,author,publisher,price,description,amazon_product_url
IT ENDS WITH US,Colleen Hoover,Atria,0.00,A battered wife raised in a violent home attempts to halt the cycle of abuse.,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,0.00,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20
VERITY,Colleen Hoover,Grand Central,0.00,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20
ONE STEP TOO FAR,Lisa Gardner,Dutton,0.00,The second book in the Frankie Elkin series. Frankie searches for a young man who went missing during a bachelor party camping trip.,https://www.amazon.com/dp/0593185412?tag=NYTBSREV-20
UGLY LOVE,Colleen Hoover,Atria,0.00,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20
THE MAID,Nita Prose,Ballantine,0.00,"When a wealthy man is found dead in his room, a maid at the Regency Grand Hotel becomes a lead suspect.",https://www.amazon.com/dp/0593356152?tag=NYTBSREV-20
THE LINCOLN HIGHWAY,Amor Towles,Viking,0.00,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.,https://www.amazon.com/dp/0735222355?tag=NYTBSREV-20
THE MIDNIGHT LIBRARY,Matt Haig,Viking,0.00,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20
NOVEMBER 9,Colleen Hoover,Atria,0.00,Is Ben using his relationship with Fallon as fodder for his novel?,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20
THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,0.00,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,https://www.amazon.com/dp/1501171348?tag=NYTBSREV-20
LIGHTNING IN A MIRROR,Jayne Ann Krentz,Berkley,0.00,The final installment of the Fogg Lake trilogy.,https://www.amazon.com/dp/0593337751?tag=NYTBSREV-20
THE JUDGE'S LIST,John Grisham,Doubleday,0.00,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,https://www.amazon.com/dp/0385546025?tag=NYTBSREV-20
ELECTRIC IDOL,Katee Robert,Sourcebooks Casablanca,0.00,The second book in the Dark Olympus series. A modern retelling of the myth of Psyche and Eros.,https://www.amazon.com/dp/1728231760?tag=NYTBSREV-20
THE LOVE HYPOTHESIS,Ali Hazelwood,Berkley,0.00,A young professor agrees to pretend to be a third-year Ph.D. candidate’s boyfriend.,https://www.amazon.com/dp/0593336828?tag=NYTBSREV-20
WISH YOU WERE HERE,Jodi Picoult,Ballantine,0.00,Diana O’Toole re-evaluates her seemingly perfect life when a pandemic disrupts her vacation in the Galápagos Islands.,https://www.amazon.com/dp/1984818414?tag=NYTBSREV-20
