title,author,publisher,price,description,amazon_product_url
ENOUGH ALREADY,Valerie Bertinelli,Harvest,0.00,The actress and TV personality describes her personal setbacks and difficult journey to self-acceptance.,https://www.amazon.com/dp/035856736X?tag=NYTBSREV-20
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,0.00,"How trauma affects the body and mind, and innovative treatments for recovery.",http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20
THE BETRAYAL OF ANNE FRANK,Rosemary Sullivan,Harper,0.00,New technology was used to investigate who revealed the location of Anne Frank and her family to the Nazis.,https://www.amazon.com/dp/0062892355?tag=NYTBSREV-20
THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",One World,0.00,"Viewing America’s entanglement with slavery and its legacy, in essays adapted and expanded from The New York Times Magazine.",https://www.amazon.com/dp/0593230574?tag=NYTBSREV-20
UNTHINKABLE,Jamie Raskin,Harper,0.00,The Maryland congressman describes leading the impeachment effort against the former president shortly after his son’s death by suicide and the insurrection at the Capitol.,https://www.amazon.com/dp/0063209780?tag=NYTBSREV-20
CRYING IN H MART,Michelle Zauner,Knopf,0.00,"The daughter of a Korean mother and Jewish-American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",https://www.amazon.com/dp/0525657746?tag=NYTBSREV-20
GREENLIGHTS,Matthew McConaughey,Crown,0.00,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.,https://www.amazon.com/dp/0593139135?tag=NYTBSREV-20
WILL,Will Smith with Mark Manson,Penguin Press,0.00,"The actor, producer and musician tells his life story and lessons he learned along the way.",https://www.amazon.com/dp/1984877925?tag=NYTBSREV-20
ALL ABOUT LOVE,bell hooks,Morrow,0.00,The late feminist icon explores the causes of a polarized society and the meaning of love.,https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20
THE STORYTELLER,Dave Grohl,Dey Street,0.00,A memoir by the musician known for his work with Foo Fighters and Nirvana.,https://www.amazon.com/dp/0063076098?tag=NYTBSREV-20
BLOOD IN THE GARDEN,Chris Herring,Atria,0.00,A senior writer for Sports Illustrated gives a history of the New York Knicks during the 1990s.,https://www.amazon.com/dp/1982132116?tag=NYTBSREV-20
BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,0.00,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,https://www.amazon.com/Braiding-Sweetgrass-Indigenous-Scientific-Knowledge/dp/1571313567?tag=NYTBSREV-20
UNTAMED,Glennon Doyle,Dial,0.00,The activist and public speaker describes her journey of listening to her inner voice.,https://www.amazon.com/dp/1984801252?tag=NYTBSREV-20
TASTE,Stanley Tucci,Gallery,0.00,"The award-winning actor reflects on his career, Italian-American heritage, meals and mishaps.",https://www.amazon.com/dp/1982168013?tag=NYTBSREV-20
JUST PURSUIT,Laura Coates,Simon & Schuster,0.00,The CNN senior legal analyst and former assistant U.S. attorney for the District of Columbia describes how our legal system treats Black people differently.,https://www.amazon.com/dp/1982173769?tag=NYTBSREV-20
