exchange_symbol,close_price,highest_price,lowest_price,transactions,weighted_average,date
X:AVAXUSD,63.4,68.0,62.18,56621,65.1588,2022-04-29
X:ANKRUSD,0.06576,0.07189,0.06431,7607,0.0674,2022-04-29
X:BTCEUR,36615.7,37917.9,36190.0,59570,36941.8704,2022-04-29
X:ETHUSD,2818.3,2947.2,2775.02,753436,2856.2468,2022-04-29
X:APEUSD,19.141,24.5,18.4,412765,21.407,2022-04-29
X:XLMUSD,0.177915,0.187907,0.17618,55624,0.182,2022-04-29
X:LTCUSD,100.39,104.56,98.32,72449,101.078,2022-04-29
X:1INCHUSD,1.259,1.31,1.227,1959,1.261,2022-04-29
X:ADAUSD,0.8049,0.8494,0.7893,131067,0.8167,2022-04-29
X:KNCUSD,5.353,5.7356,5.1269,28177,5.4253,2022-04-29
X:ZRXUSD,0.743406,0.824358,0.737375,18674,0.7805,2022-04-29
X:BTCGBP,30701.61,31944.96,30367.0,12398,30993.3954,2022-04-29
X:DOGEUSD,0.135,0.145,0.13309,106597,0.1383,2022-04-29
X:BTCUSD,38593.1,39927.17935766,38131.8,827474,38938.6219,2022-04-29
X:GRTUSD,0.3503,0.3619,0.3365,32481,0.3505,2022-04-29
X:SHIBUSD,2.221e-05,2.31e-05,2.16e-05,131395,-999.0,2022-04-29
X:USTUSD,1.0003,1.001,0.999,20795,1.0003,2022-04-29
X:SOLUSD,93.9,98.684,92.28,117345,95.3544,2022-04-29
X:COMPUSD,114.09,123.83,112.29,7491,118.1171,2022-04-29
X:PNKUSD,0.064031,0.069538,0.063722,420,0.067,2022-04-29
X:CROUSD,0.3703,0.3913,0.3595,41456,0.3765,2022-04-29
X:USDTUSD,1.0,1.0001,0.9958,88879,1.0,2022-04-29
X:DAIUSD,1.0006,1.0022,0.9983,22733,1.0,2022-04-29
X:SUSHIUSD,2.7043,3.02,2.66,13332,2.836,2022-04-29
X:AMPUSD,0.02062,1.2208,0.01994,26603,0.0209,2022-04-29
X:ALGOUSD,0.6382,0.7098,0.6192,44618,0.6569,2022-04-29
X:MASKUSD,4.1,4.85,4.0,5035,4.5113,2022-04-29
X:XTZUSD,2.69,2.83,2.64,21086,2.727,2022-04-29
X:REPUSD,12.806,14.17,12.688,2221,13.2072,2022-04-29
X:IMXUSD,1.545,1.708,1.522,10454,1.6068,2022-04-29
X:FTMUSD,0.83501,0.98018,0.8,2461,0.8843,2022-04-29
X:IQXUSD,0.010238,0.010734,0.010197,607,0.0104,2022-04-29
X:LUNAUSD,85.173,89.713,84.18,13907,86.2015,2022-04-29
